English,Polish,Spanish
skipped,pominąłem,salto
strawberry,truskawka,fresa
mirrors,lustra,espejos
self-defense,Samoobrona,autodefensa
preston,Preston,prestón
overwhelmed,przytłoczony,abrumado
swift,szybki,rápido
creeps,ciarki,grima
token,znak,simbólico
temporarily,tymczasowo,temporalmente
poisonous,trujący,venenoso
heidi,Heidi,Heidi
diagnosis,diagnoza,diagnóstico
ninth,dziewiąty,noveno
locations,lokalizacje,ubicación
retrieve,odzyskać,recuperar
robbers,rabusie,ladrones
conclusions,Wnioski,conclusiones
joanna,Joanna,Joanna
disabled,wyłączony,desactivado
ira,IRA,IRA
extension,rozszerzenie,extensión
lining,podkład,recubrimiento
yuri,Yuri,yuri
hip-hop,hip hop,hip hop
freeman,obywatel,hombre libre
scoop,szufelka,cucharón
merlin,Merlin,esmerejón
bridget,Bridget,bridget
revving,Odwrócenie,aceleramiento
transform,przekształcać,transformar
shelby,Shelby,shelby
hospitality,gościnność,hospitalidad
brooks,Brooks,Arroyos
survey,ankieta,encuesta
hunted,polował,cazado
cozy,przytulny,acogedor
g.,G.,gramo.
recommendation,rekomendacje,recomendación
providing,dostarczanie,Proporcionar
microphone,mikrofon,micrófono
skeleton,szkielet,esqueleto
muslims,muzułmanie,musulmanes
toll,myto,peaje
reconsider,zrewidować,reconsiderar
creaks,skrzypia,crujido
extended,rozszerzony,extendido
spear,włócznia,lanza
overboard,za burtę,al agua
ai,ai,ai
clinton,Clinton,Clinton
petition,Petycja,petición
baggage,bagaż,equipaje
scumbag,scumbag,escoria
tribute,hołd,tributo
weddings,Wesela,bodas
facilities,udogodnienia,instalaciones
bangs,grzywki,golpes
claw,pazur,garra
donation,darowizna,donación
isabelle,Isabelle,Isabelle
traitors,Zdrajcy,traidores
mei,Mei,mei
jasper,jaspis,jaspe
borders,granice,fronteras
australian,australijski,australiano
colby,Colby,Colby
boxer,bokser,Boxer
whilst,podczas,mientras que
misfortune,nieszczęście,desgracia
elaborate,wyszukany,elaborar
sights,osobliwości miasta,monumentos
maestro,maestro,maestro
mysteries,arkana,misterios
loosen,poluzować,aflojar
gifted,utalentowany,dotado
i--i,Ja-i,yo-yo
involvement,uwikłanie,intervención
affects,ma wpływ,afectos
summon,wezwać,convocar
sherman,Sherman,sherman
churchill,Churchill,Churchill
theresa,Theresa,hay una
solitary,samotny,solitario
wilderness,pustynia,desierto
baltimore,Baltimore,Baltimore
olympic,olimpijski,olímpico
undo,Cofnij,deshacer
mechanism,mechanizm,mecanismo
vietnamese,wietnamski,vietnamita
vanish,znikać,desaparecer
dome,kopuła,cúpula
biting,szczypiący,mordiendo
ronald,Ronald,ronald
texted,SMS -y,de mensajes de texto
sage,szałwia,sabio
yummy,pyszny,delicioso
tactics,taktyka,táctica
slack,luźny,flojo
snapped,pstryknął,roto
weekly,co tydzień,semanalmente
bushes,Bułki,arbustos
grandparents,dziadkowie,abuelos
like-,tak jak-,como-
henri,Henri,henri
obtain,uzyskać,obtener
hart,jeleń,ciervo
flights,loty,vuelos
adventures,Przygody,aventuras
hottest,najgorętsze,el mejor
grown-up,dorosły,creciendo
eden,eden,Edén
mild,łagodny,leve
dom,Dom,domina
fourteen,czternaście,catorce
smuggling,przemycanie,contrabando
blend,mieszanka,mezcla
chancellor,kanclerz,canciller
biscuits,Biszkopty,galletas
gorilla,goryl,gorila
dynasty,dynastia,dinastía
acquired,nabyty,adquirido
businesses,biznes,negocios
countless,niezliczony,incontable
fritz,Fritz,fritz
brent,Brent,brent
gardener,ogrodnik,jardinero
barracks,koszary,cuartel
flirt,flirt,coquetear
cooks,kucharze,cocineros
distorted,zniekształcony,distorsionado
carved,rzeźbiony,tallado
jumps,skoki,salto
superhero,superbohater,superhéroe
forests,Lasy,bosques
clapping,klaskanie,aplausos
psychiatric,psychiatryczny,psiquiátrico
snuck,Skradać,escondido
roughly,mniej więcej,apenas
screamed,krzyknął,grito
raja,radża,raja
disappearing,znikający,desaparición
establishment,ustanowienie,establecimiento
whales,wieloryby,ballenas
lump,bryła,bulto
dwarf,krasnolud,enano
environmental,środowiskowy,ambiental
mam,mama,mamá
pint,pół kwarty,medio litro
loading,Ładowanie,cargando
diplomatic,dyplomatyczny,diplomático
exclaims,wykrzykuje,exclamaciones
context,kontekst,contexto
volunteered,zgłoszony,voluntario
risked,ryzyko,arriesgado
gangs,gangi,pandillas
boost,zwiększyć,aumentar
fax,faks,fax
dante,Dante,dante
partial,częściowy,parcial
refusing,Odmawianie,rechazado
gaze,spojrzenie,mirada
rene,Rene,reno
nuisance,niedogodność,tontería
terrorism,terroryzm,terrorismo
jerome,Jerome,jeromo
ungrateful,niewdzięczny,desagradecido
donate,podarować,donar
relieve,łagodzić : uśmierzać,aliviar
13th,13.,13
grandchildren,wnuki,nietos
felicity,szczęście,felicidad
maureen,Maureen,maureen
represented,reprezentowane,representado
co,współ,co
neutral,neutralny,neutral
philippe,Philippe,Filippe
workin,pracować w,trabajar en
steering,sterowniczy,direccion
rm,Rm,RM
presidential,prezydencki,presidencial
rental,wynajem,alquiler
challenged,Wyzwanie,desafiado
julien,Julien,julien
feeds,Karmienie,alimentos
je,JE,je
vegetarian,wegetariański,vegetariano
teasing,przekomarzanie się,broma
surprisingly,zaskakująco,asombrosamente
iran,Iran,Irán
shrine,świątynia,santuario
automatically,automatycznie,automáticamente
timer,regulator czasowy,Temporizador
gasoline,benzyna,gasolina
juliette,Juliette,juliette
scouts,Zwiadowcy,exploradores
millie,Millie,millie
google,Google,Google
dorm,sala sypialna,residencia universitaria
athlete,sportowiec,atleta
shiva,siedmiodniowa żałoba,shiva
robber,bandyta,ladrón
convent,klasztor,convento
balloons,balony,globos
crawford,Crawford,crawford
barb,kolec,lengüeta
enters,wchodzi,entra
maps,mapy,mapas
meth,Meth,metanfetamina
ifyou,Jeśli ty,si usted
fruits,owoce,frutas
colored,kolorowy,de colores
poppy,MAK,amapola
metro,Metro,metro
clarke,Clarke,Clarke
fernando,Fernando,Fernando
scully,Scully,esculpido
resolved,rozwiązany,resuelto
sessions,sesje,sesiones
conservative,konserwatywny,conservador
rates,stawki,tarifa
forged,podrobiony,falsificado
legends,Legendy,leyendas
arrows,strzałki,flechas
charley,Charley,charlé
dismiss,odrzucać,despedir
authorized,upoważniony,autorizado
slavery,niewolnictwo,esclavitud
attended,uczęszczany,atendido
flows,przepływy,flujos
employed,zatrudniony,empleado
decorated,ozdobiony,decorado
parallel,równoległy,paralelo
detected,wykryte,detectado
grove,gaj,arboleda
coverage,zasięg,cobertura
hen,kura,gallina
pyramid,piramida,pirámide
overall,Ogólnie,en general
hum,szum,tararear
specially,specjalnie,especialmente
rebuild,odbudować,reconstruir
exclaiming,wykrzykiwanie,exclamante
producing,produkcja,productor
sewing,szycie,de coser
occasions,okazje,ocasiones
boards,tablice,tablas
trumpet,trąbka,trompeta
yes.,Tak.,Sí.
shaped,kształt,conformado
matched,dopasowany,coincidente
daughter-in-law,synowa,nuera
ammo,amunicja,munición
typing,pisanie na maszynie,mecanografía
macgyver,MacGyver,MacGyver
blades,Ostrza,hojas
thailand,Tajlandia,Tailandia
becca,Becca,Becca
wo,wo,wo
debris,gruz,escombros
luca,Luca,Luca
cement,cement,cemento
hamlet,mała wioska,aldea
nat,Nat,nat
communists,komuniści,comunistas
showers,prysznice,duchas
tougher,trudniejsze,más duro
sailors,żeglarze,marineros
kitt,Kitt,gatito
comedian,komik,cómico
harassment,molestowanie,acoso
missus,Missus,señora
monitoring,monitorowanie,supervisión
smashing,druzgocący,imponente
shaved,ogolony,afeitado
inventory,spis,inventario
housekeeper,gospodyni domowa,ama de casa
tribes,plemiona,tribus
long-term,długoterminowy,a largo plazo
vile,podły,vil
gotham,Gotham,gotham
imaginary,wyimaginowany,imaginario
artillery,artyleria,artillería
ping,świst,silbido
cereal,zboże,cereal
zoom,Powiększenie,zoom
portion,część,parte
irony,ironia,ironía
14th,14.,14
exceptional,wyjątkowy,excepcional
slit,szczelina,abertura
ss,SS,ss
despise,pogardzać,despreciar
waltz,walc,vals
humour,humor,humor
crashes,awarie,fallas
gu,Gu,Gu
stammering,jąkający się,tartamudez
coaches,trenerzy,entrenadores
joo,Joo,joo
await,czekać na,esperar
bryan,Bryan,bryan
celebrated,słynny,celebrado
encouraged,zachęcał,motivado
devils,diabły,demonios
gag,knebel,mordaza
telescope,teleskop,telescopio
verse,werset,verso
stalin,Stalin,estalín
e-mails,E-mail,correos electrónicos
iet,IET,IET
babysitter,opiekunka dziecięca,niñera
pr,Pr,PRS
distinguished,wybitny,distinguido
licence,licencja,licencia
addicted,uzależniony,adicto
bauer,Bauer,bauer
speeches,przemówienia,discursos
wit,dowcip,ingenio
programmed,zaprogramowane,programado
bliss,rozkosz,dicha
donny,Donny,donny
elsa,Elsa,ELSA
com,com,comunicarse
recorder,rejestrator,grabadora
hides,ukryć,se esconde
shameless,bezwstydny,desvergonzado
apartments,mieszkanie,apartamentos
tipped,WICED,con punta
turf,darń,césped
tang,posmak,Espiga
tu,tu,tu
discharged,rozładowany,descargado
psychologist,psycholog,psicólogo
duh,Duh,duh
delete,usuwać,borrar
jock,Jock,deportista
wrath,gniew,ira
estimate,oszacować,estimar
tutor,korepetytor,tutor
jurisdiction,jurysdykcja,jurisdicción
impulse,impuls,impulso
penguin,pingwin,pingüino
tubes,rurki,tubos
playground,plac zabaw,patio de juegos
sew,szyć,coser
nickel,nikiel,níquel
claws,pazury,garras
giants,Giants,gigantes
daring,śmiały,atrevido
posters,plakaty,carteles
peacefully,spokojnie,pacíficamente
rag,szmata,trapo
caves,jaskinie,cueva
nikita,Nikita,Nikita
stern,rufa,popa
condolences,kondolencje,condolencias
ohhh,Ohhh,oh
dearly,drogo,caro
humiliation,upokorzenie,humillación
worldwide,na całym świecie,mundial
cartoon,kreskówka,dibujos animados
disrespect,brak szacunku,falta de respeto
so-,Więc-,entonces-
shhh,shhh,shhh
underworld,męt,inframundo
marble,marmur,mármol
lilly,Lilly,Lilly
chun,Chun,chun
curly,kręcony,ondulado
judged,osądzony,juzgado
bidding,licytacja,ofertas
erased,wymazany,borrado
confuse,pomylić,confundir
masterpiece,arcydzieło,obra maestra
pentagon,pięciokąt,pentágono
oppa,Oppa,oppa
tow,holowniczy,remolcar
seduce,uwieść,seducir
bathtub,wanna,bañera
pets,Zwierzęta,mascotas
bricks,Cegły,ladrillos
goa,Goa,Ir a
hotter,gorętszy,más caliente
regime,reżim,régimen
contempt,pogarda,desprecio
batch,seria,lote
m-i,mi,mi
ramsay,Ramsay,ramsay
speeding,przyśpieszenie,exceso de velocidad
compartment,przedział,compartimiento
tackle,przybory,abordar
wage,płaca,salario
shines,świeci,brillo
lifting,podnoszenie,levantamiento
hustle,gwar,ajetreo
inmates,więźniowie,reclusos
km,km,km
psst,Psst,psíquica
scooter,skuter,scooter
relatively,stosunkowo,relativamente
stoned,zjarany,drogado
supernatural,nadprzyrodzony,sobrenatural
darwin,Darwin,darwin
viewers,widzowie,espectadores
lorenzo,Lorenzo,lorenzo
treasures,skarby,tesoros
yankee,Jankes,yanqui
lang,Lang,lang
taco,taco,taco
charts,wykresy,gráficos
brigade,brygada,brigada
bankrupt,bankrut,arruinado
marianne,Marianne,marianne
bikes,rowery,bicicleta
lookout,Uważaj,Estar atento
merchandise,towar,mercancías
slippery,śliski,resbaladizo
duchess,księżna,duquesa
gulf,Zatoka,Golfo
foam,piana,espuma
steals,kradnie,robo
numerous,liczny,numeroso
ripping,przybierka,excelente
trusts,zaufanie,fideicomisos
flock,trzoda,rebaño
potion,eliksir,poción
fiance,narzeczony,prometido
glimpse,dojrzeć,vistazo
invincible,niezwyciężony,invencible
compensation,odszkodowanie,compensación
kettle,czajnik,pava
stroll,przechadzka,paseo
trish,Trish,trish
brendan,Brendan,brendan
cafeteria,stołówka,cafetería
sane,rozsądny,cuerdo
currency,waluta,divisa
amsterdam,Amsterdam,Amsterdam
radius,promień,radio
verify,zweryfikować,verificar
founded,założony,fundado
medic,lekarski,médico
peek,zerkać,ojeada
sewer,kanał ściekowy,alcantarillado
vernon,Vernon,Vernon
callie,Callie,callie
bbc,BBC,BBC
hull,kadłub,cáscara
solomon,Salomon,Salomón
madonna,Madonna,Virgen
toad,ropucha,sapo
powell,Powell,powell
maxwell,Maxwell,maxwell
moose,Łoś,alce
souvenir,pamiątka,recuerdo
stitch,szew,puntada
compass,kompas,Brújula
mercury,rtęć,mercurio
locking,zamykający,cierre
edwards,Edwards,edwards
frederick,Frederick,Frederick
dislike,nie lubić,disgusto
stu,Stu,stu
rib,żebro,costilla
pamela,Pamela,pamela
brace,klamra,abrazadera
ban,zakaz,prohibición
gracias,Gracias,gracías
stitches,szwy,puntadas
thrust,pchnięcie,empuje
referred,skierowane,referido
achievement,osiągnięcie,logro
links,spinki do mankietów,Enlaces
denying,zaprzeczanie,negar
monastery,klasztor,monasterio
newly,nowo,recién
impatient,niecierpliwy,impaciente
recruit,rekrut,recluta
sunk,zatopiony,hundido
ignorance,ignorancja,ignorancia
drugged,odurzony,drogado
predicted,przewidywane,predicho
floyd,Floyd,floy
creator,twórca,creador
mississippi,Mississippi,Misisipí
civilized,cywilizowany,civilizado
artery,tętnica,artería
dynamic,dynamiczny,dinámica
competing,konkurujący,competidor
buffy,Buffy,buffy
distribution,dystrybucja,distribución
turk,Turek,turco
voiceover,lektor,narración
stereo,stereofoniczny,estéreo
ethel,Ethel,Ethel
ark,arka,arca
carpenter,stolarz,carpintero
it.,To.,él.
warner,Warner,Warner
industries,branże,industrias
melted,stopiony,Derretido
upsetting,niepokojące,perturbador
cruz,Cruz,Cruz
labs,laboratoria,laboratorios
bluff,urwisko,bluff
bender,giętarka,juerga
unbearable,nie do zniesienia,inaguantable
narcotics,Narkotyki,narcóticos
juicy,soczysty,jugoso
eerie,niesamowity,misterioso
ingrid,Ingrid,ingrid
mwah,Mwah,mwah
slippers,kapcie,zapatillas
freaky,zakręcony,raro
vip,VIP,VIP
troop,stado,tropa
footprints,Ślady,huellas
dani,Dani,dani
pact,pakt,pacto
apparent,pozorny,aparente
repeated,powtarzający się,repetido
foreigner,cudzoziemiec,extranjero
feelin,Feelin,sentir
journalists,dziennikarze,periodistas
employer,pracodawca,empleador
penelope,Penelopa,Penélope
grim,ponury,severo
medieval,średniowieczny,medieval
damien,Damien,damien
frustrating,denerwujący,frustrante
rehearse,odbywać próby,ensayar
travelled,podróżował,viajado
preparation,przygotowanie,preparación
microwave,kuchenka mikrofalowa,microonda
denial,odmowa,negación
flute,flet prosty,flauta
juvenile,nieletni,juvenil
paddy,Paddy,arrozal
retarded,niedorozwinięty,retrasado
memo,notatka,memorándum
canvas,płótno,lienzo
fa,fa,fa
and-and,i i,y y
symbols,symbolika,símbolo
mccoy,McCoy,McCoy
daly,Daly,alegría
driveway,podjazd,entrada de coches
funky,odjechany,miedoso
kitten,kotek,gatito
nicest,Najmilsze,mejor
deceive,zwodzić,engañar
negro,Murzyn,negro
chopped,posiekana,Cortado
consultant,konsultant,consultor
rifles,karabiny,rifles
heating,ogrzewanie,calefacción
rays,Promienie,rayos
architecture,architektura,arquitectura
gideon,Gideon,gedeón
butch,lesbijka,marimacho
warmer,grzałka,más cálido
contribution,składka,contribución
advisor,doradca,tutor
peoples,narody,pueblo
groceries,artykuły spożywcze,comestibles
behaved,zachowywał się,comportamiento
experiencing,Doświadczenie,experimentando
yοu,yοu,tu
settling,utknięcie,asentamiento
tractor,ciągnik,tractor
unacceptable,gorszący,inaceptable
imitating,naśladowanie,imitado
squadron,eskadra,escuadrón
briggs,Briggs,briggs
smallest,najmniejsze,pequeñísimo
ethics,etyka,ética
gibson,Gibson,gibson
devotion,poświęcenie,devoción
plumber,hydraulik,plomero
burgers,hamburgery,hamburguesas
knots,węzły,nudos
broom,miotła,escoba
briefing,odprawa,instrucciones
curve,krzywa,curva
informant,informator,informante
applauding,oklaskiwanie,aplaudir
whites,upławy,ropa blanca
app,App,aplicación
andrews,Andrews,Andrews
blog,blog,Blog
ox,wół,buey
vase,wazon,florero
glance,zerknąć,mirada
collective,kolektyw,colectivo
poles,biegunki,polos
sixty,sześćdziesiąt,sesenta
fantasies,Fantazje,fantasías
heritage,dziedzictwo,herencia
motherfucking,Motthing,maldito
fisherman,rybak,pescador
armstrong,Armstrong,brazo
nder,Nder,nudoso
complained,skarżył się,quejado
nightclub,Klub nocny,Club nocturno
willow,wierzba,sauce
preliminary,wstępny,preliminar
server,serwer,servidor
provides,zapewnia,brindar
mat,mata,estera
appreciation,uznanie,apreciación
a-a,A-A,Automóvil club británico
historic,historyczny,histórico
jorge,Jorge,Jorge
promote,promować,promover
processing,przetwarzanie,Procesando
naples,Neapol,Nápoles
high-pitched,wysoki,agudo
pumping,pompowanie,bombeo
stalker,prześladowca,acosador
goats,kozy,cabra
francine,Francine,Francina
smokes,pali,fumos
introduction,wstęp,introducción
valid,ważny,válido
portuguese,portugalski,portugués
negotiations,negocjacje,negociaciones
o.r.,Lub.,o.
wheeler,kołodziej,rodador
overheard,podsłuchał,escuchado
iove,iove,Iove
breeding,hodowla,cría
part-time,niepełny etat,tiempo parcial
barge,barka,barcaza
refugees,uchodźcy,refugiados
wah,Wah,wah
observed,zauważony,observado
tigers,Tygrysy,tigres
brothel,burdel,burdel
missions,misje,misiones
ashore,na brzeg,en tierra
panda,panda,panda
discretion,dyskrecja,discreción
yale,Yale,Yale
disappointing,niezadowalający,decepcionante
insect,owad,insecto
prophecy,proroctwo,profecía
wanda,Wanda,wanda
absent,nieobecny,ausente
machinery,maszyneria,maquinaria
generals,generalicja,generales
carrot,marchewka,zanahoria
ferrari,Ferrari,ferrari
wrecked,Rozbity,destrozado
gestapo,gestapo,gestapo
greene,Greene,verde
suggestions,propozycje,sugerencias
puff,ptyś,soplo
supportive,Wspierający,apoyo
punching,uderzenie,puñetazos
lulu,Lulu,lulu
intervention,interwencja,intervención
layers,warstwy,capas
hughes,Hughes,abrazos
scholar,uczony,erudito
libby,Libby,Libby
predators,drapieżniki,depredadores
accusations,oskarżenia,acusaciones
8th,8,Octavo
olympics,Olimpiada,Juegos Olímpicos
accounting,rachunkowość,contabilidad
jj,JJ,JJ
expertise,ekspertyza,pericia
strap,pasek,Correa
fitz,Fitz,fitz
darryl,Darryl,Darryl
butts,Budy,campo de tiro al blanco
approaches,podchodzi do,enfoques
flags,flagi,banderas
embarrassment,zakłopotanie,vergüenza
faking,Faking,falsificación
jamal,Jamal,Jamal
vanilla,wanilia,vainilla
grapes,winogrona,uvas
dominic,Dominic,dominio
beacon,latarnia morska,Faro
handkerchief,chusteczka,pañuelo
rubbing,tarcie,frotamiento
mallory,Mallory,malla
rustling,szelest,susurro
lighten,rozjaśnić,aligerar
flora,flora,flora
cuban,kubański,cubano
polar,polarny,polar
translator,tłumacz,traductor
congrats,gratulacje,felicitaciones
passports,paszporty,pasaporte
grabbing,chwytanie,agarrando
alf,Alf,ALF
brotherhood,braterstwo,fraternidad
ernest,Ernest,Ernest
professionals,Specjaliści,profesionales
yuan,yuan,yuan
understandable,zrozumiale,comprensible
banner,transparent,bandera
academic,akademicki,académico
thuds,Thuds,ruido sordo
sa,sa,SA
publicly,publicznie,en público
orphans,sieroty,huérfanos
pearls,Perły,perlas
predator,drapieżnik,depredador
brien,Brien,brien
frances,Frances,Frances
addison,Addison,Addison
syrup,syrop,jarabe
cartel,kartel,cartel
nash,Nash,nash
walsh,Walsh,Walsh
norma,Norma,norma
bluffing,Blefing,faroloso
permitted,dozwolony,permitido
unpredictable,nieobliczalny,impredecible
wagner,Wagner,Wagner
suspension,zawieszenie,suspensión
addresses,adresy,direcciones
stamps,Znaczki,sellos
category,Kategoria,categoría
transition,przemiana,transición
peas,groszek,guisantes
cautious,ostrożny,precavido
k.,k.,k.
isabella,Izabela,Isabela
comparison,porównanie,comparación
coats,kurtki,abrigos
islam,islam,islam
thugs,bandyci,matones
grams,gramy,gramos
freshman,student pierwszego roku,estudiante de primer año
toilets,WC,baños
banquet,bankiet,banquete
coup,pucz,golpe
shaken,przygotowany w shakerze,agitado
investigations,dochodzenia,investigaciones
toothbrush,Szczoteczka do zębów,cepillo de dientes
expressed,wyrażone,expresado
vulgar,wulgarny,vulgar
haunt,nawiedzać,guarida
improvement,poprawa,mejora
zeus,Zeus,Zeus
murdoch,Murdoch,Murdoch
smelling,pachnący,olfato
kirby,Kirby,kirby
repairs,remont,refacción
jeong,Jeong,yengo
conducted,prowadzone,realizado
ollie,Ollie,Ollie
bakery,piekarnia,panadería
busting,Bierzenia,revoltoso
investigated,badane,investigado
60s,60.,60 años
admission,wstęp,admisión
essay,Praca pisemna,ensayo
twitter,świergot,gorjeo
depths,otchłań,lo más hondo
fewer,mniej,menos
guarding,strzegący,guardia
altered,zmieniony,alterado
filing,piłowanie,presentación
ecstasy,ekstaza,éxtasis
snatch,urywek,arrebatar
stored,przechowywane,almacenado
tropical,tropikalny,tropical
pharmacy,Apteka,farmacia
dalton,Dalton,Dalton
altitude,Wysokość,altitud
admired,podziwiany,estimado
dickhead,Dickhead,gilipollas
priya,Priya,priya
mamma,mama,mamá
moe,Moe,moe
grind,mielić,moler
bombay,Bombaj,Bombay
he,On,él
lowest,najniższy,el más bajo
makin,Makin,makin
sentences,zdania,oraciones
mute,niemy,silenciar
full-time,pełny etat,tiempo completo
scratching,Drapanie,rayado
imprisoned,uwięziony,encarcelado
danish,duński,danés
glowing,rozjarzony,brillante
zhang,Zhang,zhang
martini,martini,martini
leah,Leah,leah
empress,cesarzowa,emperatriz
equipped,wyposażony,equipado
finale,finał,final
tarzan,Tarzan,Tarzán
storms,burze,tormentas
sniff,powąchać,oler
oh.,Oh.,Vaya.
me.,Ja.,a mí.
slick,przysiek,resbaloso
unarmed,bezbronny,desarmado
16th,16.,16
violated,naruszone,violado
vent,kratka wentylacyjna,respiradero
dd,Dd,dd
breakthrough,przełom,descubrimiento
stud,stadnina,semental
addressed,zaadresowany,dirigido
tactical,taktyczny,táctico
vessels,naczynia,buques
procedures,procedury,procedimientos
ching,Ching,chisque
dine,jeść obiad,cenar
draws,rysuje,sorteos
crowds,tłumy,multitudes
limb,kończyna,miembro
wool,wełna,lana
montana,Montana,Montana
giovanni,Giovanni,Giovanni
jerks,targanie,gamas
numb,zdrętwiały,adormecer
oceans,oceany,océanos
priceless,bezcenny,no tiene precio
rocking,kołysanie,balanceo
commanding,imponujący,dominante
relaxing,odprężający,relajante
clatters,brzęk,ráteres
merci,Merci,merci
gerard,Gerard,Gerard
packs,paczki,paquete
parlor,salon,salón
cabbage,kapusta,repollo
josé,José,José
intruder,intruz,intruso
considerable,znaczny,considerable
argued,argumentował,argumentó
paladin,paladyn,paladín
tellin,Tellin,contar
pupils,uczniowie,alumnos
inspire,inspirować,inspirar
positively,pozytywnie,afirmativamente
igor,Igor,Igor
traded,handlowany,negociado
shipped,wysłany,enviado
feminine,kobiecy,femenino
vague,niejasny,impreciso
partly,częściowo,parcialmente
6th,6.,Sexto
insight,wgląd,conocimiento
lucia,Lucia,Lucía
stages,gradacja,etapas
um-,um-,um-
screenplay,scenariusz,guión
marquis,Markiz,marqués
rahul,Rahul,rahul
ripe,dojrzały,maduro
awaiting,Oczekiwanie,en espera
pigeons,gołębie,paloma
clayton,Clayton,arcilla
tempted,Skuszony,tentado
inherit,dziedziczyć,heredar
decline,spadek,rechazar
pennsylvania,Pensylwania,Pensilvania
fang,kieł,colmillo
shitting,sranie,mierda
tens,kilkadziesiąt,declive
gigantic,gigantyczny,gigantesco
guv,szanowny pan,jefe
readings,odczyty,lectura
headmaster,dyrektor szkoły,director de escuela
tenth,dziesiąty,décimo
seals,pieczęcie,focas
peyton,Peyton,peyton
avoided,uniknąć,evitado
blankets,koce,mantas
overlapping,nakładanie się,superpuesto
flipped,odwrócony,volteado
yield,dawać,producir
ads,reklamy,anuncios
backstage,za kulisami,entre bastidores
quiz,kartkówka,prueba
mosque,Meczet,mezquita
weaver,tkacz,tejedor
puppies,Szczenięta,cachorros
stated,stwierdzono,fijado
vicki,Vicki,Vicki
weirdo,dziwak,bicho raro
belongings,dobytek,pertenencias
functions,Funkcje,funciones
reservations,Rezerwacje,reservaciones
chilly,chłodno,frío
betsy,Betsy,betsy
eldest,najstarszy,el mayor
traditions,tradycje,tradiciones
factories,fabryki,fábricas
feedback,informacja zwrotna,comentario
repeatedly,wielokrotnie,repetidamente
exquisite,znakomity,Exquisito
pickle,marynata,pepinillo
masses,szerokie rzesze,masas
pauline,Pauline,paulina
frogs,Żaby,ranas
crosses,krzyże,cruces
headaches,bóle głowy,dolores de cabeza
arctic,arktyczny,ártico
reinforcements,posiłki,refuerzos
secondary,wtórny,secundario
pajamas,piżama,pijama
roles,Role,roles
asteroid,asteroida,asteroide
unsub,REZUK,sumar
mixing,mieszanie,mezcla
courier,kurier,mensajero
jeanne,Jeanne,jeanne
carrots,marchew,zanahorias
fuckers,skurwiele,cabrones
translated,przetłumaczony,traducido
longing,tęsknota,anhelo
cigars,cygara,cigarros
manipulate,manipulować,manipular
liberal,liberał,liberal
investors,inwestorzy,inversores
bun,kok,bollo
sly,chytry,astuto
pickles,ogórki konserwowe,pepinillos
temperatures,temperatury,temperaturas
sweetest,Najsłodsze,el más dulce
motto,motto,lema
moss,mech,musgo
yum,mniam,beque
melting,topienie,derritiendo
yan,Yan,yan
requesting,prośba,solicitante
lava,lawa,lava
you.,Ty.,tú.
kris,Kris,kris
monthly,miesięczny,mensual
noses,nos,narices
tickle,łaskotać,cosquillas
ufo,UFO,OVNI
timothy,tymotka,timoteo
stacey,Stacey,stacey
j.r.,J.R.,J.R.
midst,Środek,medio
herbert,Herbert,Herbert
purchased,zakupione,comprado
tis,Tis,tis
convenience,wygoda,conveniencia
flashlight,latarka,Linterna
dewey,Dewey,dewey
tripped,potknęło się,tropezado
easiest,najłatwiejszy,más fácil
shouted,krzyknął,gritó
splitting,rozdzielać,terrible
bryce,Bryce,bryce
commands,polecenia,comandos
demanded,żądane,exigido
cuff,mankiet,brazalete
cosmos,kosmos,cosmos
curfew,godzina policyjna,toque de queda
instructed,poinstruowano,instruido
notorious,notoryczny,notorio
prague,Praga,pazue
q,Q,Q
streak,pasemko,racha
equivalent,równowartość,equivalente
pitiful,żałosny,lamentable
fin,płetwa,aleta
greeting,Powitanie,saludo
propaganda,propaganda,propaganda
doorstep,próg,peldaño
hilda,Hilda,hilda
butterflies,motyle,mariposas
fascinated,zafascynowany,fascinado
jude,Jude,yacuana
beatrice,Beatrice,Beatrice
miriam,Miriam,Miriam
dumping,dumping,dumping
karan,Karan,Karan
condo,mieszkanie,condominio
fearless,nieustraszony,valiente
cripple,kaleka,lisiado
errand,zadanie,recado
in,W,en
halls,Halls,salas
imitates,naśladuje,imitado
harley,Harley,holgazán
ravi,Ravi,ravi
gretchen,Gretchen,Gretchen
sailed,popłynął,vela
nico,Nico,nico
baking,pieczenie,horneando
connecting,złączony,conexión
bourbon,Burbon,Borbón
cathedral,katedra,catedral
malone,Malone,malonía
bong,Bong,bong
tying,wiązać,atadura
lists,listy,liza
strangle,udusić,estrangular
stripped,obnażony,despojado
loans,pożyczki,préstamos
manchester,Manchester,Manchester
briefly,krótko,brevemente
tessa,Tessa,Tessa
unfinished,niedokończony,inconcluso
experimental,eksperymentalny,experimental
greeks,Grecy,griegos
lil,Lil,pequeño
mainland,kontynent,continente
w-what,w-co,w-que
judgement,osąd,juicio
stammers,Zakazów,estampar
pike,szczupak,lucio
liars,kłamcy,mentirosos
slot,otwór,ranura
17th,17.,17
amazon,Amazonka,Amazonas
flooded,zalane,inundado
torment,dręczyć,tormento
mermaid,syrena,sirena
rapist,gwałciciel,violador
sanders,Sanders,sanders
triggered,rozsierdzony,motivado
expects,Oczekuje,esperanza
lisbon,Lizbona,Lisboa
